ELCODE_BCD,sp_code_calc
ABNJB10130,spatdisc
ABNJB10140,anascyan
ABNJB10150,anasclyp
ABNJB10160,marestre
ABNJB10170,anaspene
ABNJB10180,anasamer
ABNJB11020,aythvali
ABNJB11030,aythamer
ABNJB11040,aythcoll
ABNJB11060,aythmari
ABNJB11070,aythaffi
ABNJB12010,somamoll
ABNJB12020,somaspec
ABNJB15010,histhist
ABNJB16010,clanhyem
ABNJB17020,melapers
ABNJB17030,melafusc
ABNJB17040,melaamer
ABNJB18010,buceclan
ABNJB18020,buceisla
ABNJB18030,bucealbe
ABNJB20010,lophcucu
ABNJB21010,mergmerg
ABNJB21020,mergserr
ABNJB22030,oxyujama
ABNKA01010,coraatra
ABNKA02010,cathaura
ABNKC01010,pandhali
ABNKC04010,elanforf
ABNKC09010,ictimiss
ABNKC10010,halileuc
ABNKC11011,circhuds
ABNKC12020,accistri
ABNKC12040,accicoop
ABNKC12060,accigent
ABNKC19030,buteline
ABNKC19050,buteplat
ABNKC19070,buteswai
ABNKC19110,butejama
ABNKC19120,buterega
ABNKC19130,butelago
ABNKC22010,aquichry
ABNKD06020,falcspar
ABNKD06030,falccolu
ABNKD06080,falcrust
ABNLC07010,phascolc
ABNLC11010,bonaumbe
ABNLC14010,melegall
ABNLC21020,colivirg
ABNME01010,cotunove
ABNME05030,ralllimi
ABNME05050,rallcrep
ABNME05070,ralleleg
ABNME08020,porzcaro
ABNME09020,neoceryt
ABNME12010,porpmart
ABNME13030,gallgale
ABNME14020,fuliamer
ABNMJ01010,aramguar
ABNMK01010,gruscana
ABNNB02010,pluvsqua
ABNNB02030,pluvdomi
ABNNB03030,charnivo
ABNNB03060,charsemi
ABNNB03090,charvoci
ABNNB03100,charmont
ABNNC01010,haempall
ABNND01010,himamexi
ABNND02010,recuamer
ABNNF01020,trinmela
ABNNF01030,trinflav
ABNNF01070,trinsoli
ABNNF02010,trinsemi
ABNNF04020,actimacu
ABNNF06010,bartlong
ABNNF07020,numephae
ABNNF07070,numeamer
ABNNF08020,limohaem
ABNNF08030,limolapp
ABNNF08040,limofedo
ABNNF09010,areninte
ABNNF11021,calicanurufa
ABNNF11030,calialba
ABNNF11040,calipusi
ABNNF11050,calimaur
ABNNF11080,calitemm
ABNNF11100,caliminu
ABNNF11110,califusc
ABNNF11120,calibair
ABNNF11130,calimela
ABNNF11140,caliacum
ABNNF11150,calimari
ABNNF11170,calialpi
ABNNF11180,califerr
ABNNF11190,calihima
ABNNF14010,trynsubr
ABNNF15010,philpugn
ABNNF16010,limngris
ABNNF16020,limnscol
ABNNF18030,galldeli
ABNNF19010,scolrust
ABNNF19020,scolmino
ABNNF20010,phaltric
ABNNF20020,phalloba
ABNNF20030,phalfuli
ABNNM01010,sterpoma
ABNNM01020,sterpara1
ABNNM01030,sterlong
ABNNM01050,stermacc
ABNNM01060,sterskua
ABNNM03010,laruatri
ABNNM03020,larupipi
ABNNM03030,laruminu
ABNNM03040,laruridi
ABNNM03050,laruphil
ABNNM03280,larubrac
